year,color,mileage,motor,shasi,body,Insurance,price
۱۳۹۶,سفید,۱۱۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,۳۶۷٬۰۰۰٬۰۰۰ تومان
۱۳۹۹,سفید,۳۵٬۲۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,۴۲۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۶,سفید,۱۲۵٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,۳۴۲٬۰۰۰٬۰۰۰ تومان
۱۳۸۳,نقره‌ای,۲۳۱٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,۲۲۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۹,سفید,۴۶٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,۴۰۳٬۰۰۰٬۰۰۰ تومان
۱۳۹۶,سفید,۹۰٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,۳۳۵٬۰۰۰٬۰۰۰ تومان
۱۳۸۹,سفید,۱۵۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۸ ماه,۲۳۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۰,سفید,۱۵۶٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۱۱ ماه,۲۷۵٬۰۰۰٬۰۰۰ تومان
۱۳۹۱,خاکستری,۱۹۵٬۰۰۰,سالم,ضربه‌خورده,خط و خش جزیی,۱۲ ماه,۲۷۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۹,سفید,۳۲٬۰۰۰,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,۴۳۰٬۰۰۰٬۰۰۰ تومان
۱۳۹۱,سفید,۱۴۹٬۰۰۰,سالم,سالم و پلمپ,رنگ‌شدگی,۳ ماه,۲۹۸٬۰۰۰٬۰۰۰ تومان
۱۳۸۶,خاکستری,۲۸۰٬۰۰۰,سالم,سالم و پلمپ,خط و خش جزیی,۹ ماه,۲۰۰٬۰۰۰٬۰۰۰ تومان
